Date,Actual_2024,Predicted_2024
2024-01-01,3.902499914169311,3.6843914688782404
2024-02-01,3.8345000743865967,3.739863047500824
2024-03-01,4.003499984741211,3.7943839099867596
2024-04-01,4.564499855041504,3.802673161847863
2024-05-01,4.610000133514404,3.736448759882989
2024-06-01,4.390500068664551,3.884110479865382
2024-07-01,4.159999847412109,4.530009551537772
2024-08-01,4.144999980926514,4.569873269709006
2024-09-01,4.144999980926514,4.345288197973877
2024-10-01,4.313499927520752,4.123257732014074
2024-11-01,4.08050012588501,4.131647604341177
2024-12-01,4.08050012588501,4.160508999886953
